Game_id,Game_name,Developer,Publisher,Release Date,Price,Metacritic Score,Headsets,Input,Play Area,Genre,Support Language
401970,Hypatia,TimefireVR LLC,TimefireVR LLC,"29 Aug, 2018",Free to Play,,;valveindex;htc;oculus;windowsmr,;vr_input_motion;vr_input_kbm,;seated;standing;roomscale,;Action;Adventure;Casual;Free to Play;Massively Multiplayer,;English
833870,The Unbreakable Gumball,New Game+,New Game+,,,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Action;Indie,;English
1214640,StellarX,OVA,OVA,"25 Jan, 2020",Free,,;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Animation & Modeling;Design & Illustration;Education;Software Training;Utilities,;English
1206620,Soul Axiom Rebooted,Wales Interactive,Wales Interactive,"27 Feb, 2020","¥ 1,220",,;valveindex;htc;oculus;windowsmr,;vr_input_motion;controller;vr_input_kbm,;seated;standing,;Adventure;Indie,;English;French;German;Russian;Simplified Chinese;Ukrainian;Turkish
1640540,Desolatium: Prologue,SUPERLUMEN,SUPERLUMEN,"22 Jun, 2021",Free,,;oculus,;vr_input_motion;vr_input_kbm,;seated;standing,;Adventure;Indie,;English;Spanish - Spain
401910,Darknet,E McNeill,E McNeill,"8 Jun, 2017","¥ 1,480",,;valveindex;htc;oculus,;vr_input_motion;vr_input_kbm,;seated;standing;roomscale,;Indie;Strategy,;English;French;German;Spanish - Spain;Korean;Simplified Chinese
676510,Industrial Petting,Another Yeti,Another Yeti,"17 Mar, 2020","¥ 2,050",,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Adventure;Casual;Indie;Simulation;Strategy;Early Access,;English
620070,Vroom Kaboom,Ratloop Games Canada,Ratloop Games Canada,"14 Aug, 2018",Free To Play,,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated,;Action;Free to Play;Indie;Racing;Strategy,;English;French;Spanish - Spain
727100,Orch Star,Orch Star Studios,White Warlock AB,"15 Aug, 2018","¥ 1,520",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Action;Indie;Strategy,;English
406710,Eclipse: Edge of Light,White Elk LLC,White Elk LLC,"14 Jan, 2019","¥ 1,520",,;valveindex;htc;oculus,;vr_input_motion,;seated;standing,;Adventure;Indie,;English;Italian;Spanish - Spain;French;German;Japanese;Korean;Spanish - Latin America;Traditional Chinese
