Game_id,Game_name,Developer,Publisher,Release Date,Price,Metacritic Score,Headsets,Input,Play Area,Genre,Support Language
553800,Lunar Stone - Origin of Blood,Zenox Studio,"GQJoy Co.,Ltd","18 Nov, 2016",,,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Action;Adventure,;English
899100,SUM,WeVery,Wevery,"21 Jul, 2018","¥1,420",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Adventure;Casual;Indie;Simulation;Early Access,;English
978270,Sam & Dan: Floaty Flatmates,Pelican Party Studios,Pelican Party Studios,"12 Dec, 2018",Free To Play,,;valveindex;htc;windowsmr,;vr_input_motion,;standing;roomscale,;Action;Adventure;Free to Play;Indie;Strategy,;English
427760,A Chair in a Room : Greenwater,Wolf & Wood Interactive Ltd,Wolf & Wood Interactive Ltd,"5 Apr, 2016","¥2,480",,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Adventure;Indie;Simulation,;English
1016980,Pirates of the Asteroid Belt VR,Garden Horse Studio,Garden Horse Studio,"24 Oct, 2019","¥2,050",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Action;Indie;RPG,;English;Russian
703480,Virtual Space,Virtual Space Inc.,Virtual Space Inc.,"16 Oct, 2017",Free,,;valveindex;htc;oculus,;vr_input_kbm,;seated;standing,;Utilities;Early Access,;English
603301,Kai-ri-Sei Million Arthur VR - Merchant Arthur swimsuit / 乖離性ミリオンアーサー VR - 富豪アーサー　水着衣装,SQUARE ENIX,SQUARE ENIX,"24 May, 2017",¥306,,;valveindex;htc,;vr_input_motion,;seated;standing,;RPG,;English;Japanese
603303,Kai-ri-Sei Million Arthur VR - Diva Arthur swimsuit / 乖離性ミリオンアーサー VR - 歌姫アーサー　水着衣装,SQUARE ENIX,SQUARE ENIX,"24 May, 2017",¥306,,;valveindex;htc,;vr_input_motion,;seated;standing,;RPG,;English;Japanese
603300,Kai-ri-Sei Million Arthur VR - Mercenary Arthur swimsuit / 乖離性ミリオンアーサー VR - 傭兵アーサー　水着衣装,SQUARE ENIX,SQUARE ENIX,"24 May, 2017",¥306,,;valveindex;htc,;vr_input_motion,;seated;standing,;RPG,;English;Japanese
603302,Kai-ri-Sei Million Arthur VR - Thief Arthur swimsuit / 乖離性ミリオンアーサー VR - 盗賊アーサー　水着衣装,SQUARE ENIX,SQUARE ENIX,"24 May, 2017",¥306,,;valveindex;htc,;vr_input_motion,;seated;standing,;RPG,;English;Japanese
875540,Virtual telescope,Anton Shatalov,Anton Shatalov,"16 Jul, 2018",¥520,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Indie;Simulation;Education;Early Access,;English
1521040,Nature Treks: Together,John Carline,Greener Games,"17 Dec, 2021","¥1,120",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Simulation;Early Access,;English
534230,Quell 4D,Rubycone,Rubycone,"14 Oct, 2016","¥1,980",,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Action;Indie,;English
543110,Head It!: VR Soccer Heading Game,Arent,Degica,"19 Oct, 2016",¥609,,;valveindex;htc,;vr_input_motion,;standing;roomscale,;Action;Casual;Sports,;English;Japanese;Simplified Chinese;Traditional Chinese
616680,Monster Showdown,Virtual Uppercut Studios,Virtual Uppercut Studios,"26 Jan, 2022","¥1,499",,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Indie,;English
524120,Raptor Valley,Andrew Stout,Andrew Stout,"9 Sep, 2016",¥410,,;valveindex;htc;oculus,;vr_input_motion;controller,;seated;standing;roomscale,;Action;Adventure;Indie;Simulation,;English
779620,Empty Town,Wanin International,Wanin International,"4 Jun, 2018","¥1,520",,;valveindex;htc;oculus,;vr_input_motion,;seated;roomscale,;Action;Adventure,;English;Traditional Chinese;Simplified Chinese;German;Russian
578470,Break Time!,Space Toast Games,Space Toast Games,"8 Feb, 2017",Free,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Casual;Indie;Simulation,;English
705100,Marshmallow Melee,TriHelix LLC,TriHelix LLC,"6 Oct, 2017","¥1,480",,;valveindex;htc;oculus,;vr_input_motion,;seated;standing,;Action;Adventure;Indie;RPG;Strategy;Early Access,;English
501470,Hold the door!,Saucisson,Saucisson,"2 Sep, 2016",Free To Play,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Free to Play;Early Access,;English
1046140,Epic Food Fight VR,ZUGALU ENTERTAINMENT,ZUGALU ENTERTAINMENT,"19 Dec, 2020",,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Casual;Indie,;English
1510310,Dream Escape,SecondWorldVR Studios,SecondWorldVR Studios,"4 Feb, 2021","¥1,010",,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Racing;RPG;Simulation,;English
954280,3dSen VR,Geod Studio,Geod Studio,"4 Jun, 2019","¥2,050",,;valveindex;htc;oculus;windowsmr,;vr_input_motion;controller,;seated;standing;roomscale,;Action;Adventure;Casual;Indie;RPG;Simulation;Strategy;Utilities;Early Access,;English
910190,Hive Slayer,King Crow Studios,King Crow Studios,"27 Oct, 2020",Free To Play,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing,;Action;Free to Play;Indie,;English
461320,Smackitball,Kevin Fathi,VR Sports,"27 Feb, 2017",Free,,;valveindex;htc;windowsmr,;vr_input_motion,;roomscale,;Sports;Early Access,;English
662470,SoundLites,ICON Interactive,ICON Interactive,"16 Jul, 2017",Free,,;valveindex;htc,;vr_input_motion,;seated;standing;roomscale,;Casual;Free to Play;Indie,;English
525540,Six Feet Under,David Nestoruk,Adhere Technology,"20 Sep, 2016",Free To Play,,;valveindex;htc,;vr_input_motion,;standing;roomscale,;Action;Free to Play;Indie,;English
477800,Piñata,Nexus Interactive Arts,Nexus Interactive Arts,"1 Sep, 2016",Free To Play,,;valveindex;htc,;vr_input_motion,;roomscale,;Casual;Free to Play;Indie;Simulation,;English
1245950,Ironlights,E McNeill,E McNeill,"9 Apr, 2020","¥2,000",,;valveindex;htc;oculus,;vr_input_motion,;standing;roomscale,;Action,;English
633320,Spirit Realm,Matthew Reed,Magic House Creative,"21 Jul, 2017",Free To Play,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Casual;Free to Play;Indie;Simulation,;English
943290,Zombie school-丧尸学院,Populus,Populus,"15 Oct, 2018",Free,,;valveindex;htc,;vr_input_motion,;seated;standing,;Free to Play;Indie,;English;Simplified Chinese
