Game_Id,Game_Name,Game_price,Game_Modes,Game_PlayerModes,Game_Controllers,Game_Platforms,Category,Game_Genres,Game_Languages,Game_Version,Game_Developer,Game_Publisher,Game_Website,Game_ReleaseDate,Game_Policy,Game_Space
4015163475201433,LES MILLS BODYCOMBAT,"¥2,990",Single User,Standing,Oculus Touch,Quest 2,Apps,"Casual, Music, Sports",English,1.1.01,Odders,Odders,https://www.lesmills.com/bodycombat-vr/,"February 3, 2022",Privacy Policy,3.1 GB
3594982710558708,Zenith: The Last City,"¥2,990",Multiplayer,"Sitting, Standing, Roomscale",Oculus Touch,"Quest, Quest 2",Games,"Action, Adventure, RPG",English,0.1.22308(LIVE),Ramen VR,Ramen VR,https://www.zenithmmo.com/,"January 28, 2022",Privacy Policy,2.7 GB
4584847304916084,Lost Recipes,"¥1,490",Single User,"Sitting, Standing, Roomscale",Oculus Touch,"Quest, Quest 2",Apps,"Educational, Food, Simulation",English,1.0.1+273175,Schell Games,Schell Games,http://www.lostrecipesvr.com/,"January 28, 2022",Privacy Policy,615 MB
3438333449611263,MultiBrush,"¥2,208",Multiplayer,"Roomscale, Sitting, Standing",Oculus Touch,"Quest, Quest 2",Apps,"Art/Creativity, Casual, Social",English,0.123b-release(LIVE),Rendever,"Rendever, Inc.",https://www.rendever.com/,"January 28, 2022",Privacy Policy,476 MB
4048766301899067,AVICII Invector: Encore Edition,"¥2,990",Single User,"Sitting, Standing",Oculus Touch,Quest 2,Games,Music,"English, Chinese (China), Chinese (Taiwan), Danish, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish (Spain), Swedish, Turkish",1,Hello There Games,Wired Productions,https://invectorgame.com/,"January 28, 2022",Privacy Policy,1.7 GB
4531913893511480,Anshar 2: Hyperdrive,"¥2,208","Co-op, Multiplayer, Single User","Sitting, Standing, Roomscale",Oculus Touch,Quest 2,Games,"Arcade, Flying, Shooter","English, French (France), German, Spanish (Mexico)",196,OZWE,OZWE,http://www.ozwe.com/,"January 21, 2022",Privacy Policy,3.9 GB
3589600511140268,OtherSight,"¥1,790",Single User,"Sitting, Standing, Roomscale","Oculus Touch, Hand Tracking","Quest, Quest 2",Apps,"Exploration, Travel",English,2.1,Raiz Media,Raiz Media S.L.,http://www.raiznewmedia.com/othersight/,"January 21, 2022",Privacy Policy,2.2 GB
3684804704932159,Garden of the Sea,"¥2,490",Single User,"Sitting, Standing, Roomscale",Oculus Touch,Quest 2,Games,"Adventure, Casual, Exploration","English, Arabic, Chinese (China), Danish, Dutch, Finnish, French (France), German, Hebrew, Icelandic, Italian, Japanese, Korean, Norwegian (Bokmål), Persian, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish (Spain), Swedish, Turkish",1.003001,Neat Corporation,Neat Corporation,http://neatcorporation.com/,"January 14, 2022",Privacy Policy,507 MB
5352920984748732,Final Space VR - The Rescue,"¥1,490","Co-op, Single User","Sitting, Standing, Roomscale",Oculus Touch,"Quest, Quest 2",Games,"Action, Shooter, Space/Universe",English,1.0,Grab Games,Grab Games,https://www.grabgames.com/,"January 14, 2022",Privacy Policy,3.8 GB
6148239151883485,Hoame,Get,Single User,"Sitting, Roomscale",Oculus Touch,"Quest, Quest 2",Apps,"Casual, Productivity, Relaxation/Meditation",English,1.5,Hoame,Hoame,https://www.hoame.app/,"January 7, 2022",Privacy Policy,430 MB
3831620133609128,ForeVR Darts,¥990,"Single User, Multiplayer","Sitting, Standing, Roomscale","Oculus Touch, Hand Tracking","Quest, Quest 2",Games,"Arcade, Social, Sports","English, English (UK), English (US), Chinese (China), Chinese (Hong Kong), Chinese (Taiwan), Czech, Danish, Dutch, Dutch (Belgium), Finnish, French (Belgium), French (Canada), French (France), German, Greek, Italian, Japanese, Korean, Norwegian (Bokmål), Polish, Portuguese (Brazil), Portuguese (Portugal), Romanian, Russian, Russian (Ukraine), Spanish (Argentina), Spanish (Chile), Spanish (Colombia), Spanish (Mexico), Spanish (Peru), Spanish (Puerto Rico), Spanish (Spain), Spanish (Venezuela), Swedish, Turkish, Vietnamese",1.0.1115,Forevr Games Inc,ForeVR Games,http://forevrgames.com/,"December 17, 2021",Privacy Policy,1.8 GB
4014704425248676,Maloka,Get,Single User,"Roomscale, Standing, Sitting",Oculus Touch,"Quest, Quest 2",Apps,Relaxation/Meditation,English,1.0.8,HOO KOO E KOO Limited,HOO KOO E KOO Limited,https://playmaloka.com/,"December 15, 2021",Privacy Policy,1.1 GB
4657783360977535,U-NEXT／ユーネクスト：日本最大級の動画・マンガアプリ,Get,Single User,"Sitting, Standing, Roomscale","Oculus Touch, Hand Tracking","Quest, Quest 2",Apps,"Movie, Music, Music Video",Japanese,1.0,U-NEXT,U-NEXT,https://video.unext.jp/,"December 10, 2021",Privacy Policy,2 MB
