scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 19:45:15.030054,mikey3410,DO NOT BUY,"it does not let you play and just shows a black screen, waste of money",Dec 31 at 10:51 AM,1, 6,
2022-05-28 19:45:15.046011,juhadisti,Do NOT buy,The game doesn't work. Absolute waste of money.,"Mar 14, 2021 at 4:11 PM",1, 5,
2022-05-28 19:45:15.061968,brody.bruemmer,its so bad,doesnt let me load up the game dont waste your money i would give a 0 star if i could,"Feb 28, 2021 at 7:12 AM",1, 4,
2022-05-28 19:45:15.075931,frosty._.vr,DO NOT BUY,it  doest even let me play i wish i can put a 0 star review,"Jan 30, 2021 at 2:58 AM",1, 9,
2022-05-28 19:45:15.090891,logan.berka,Cant Even Play It,Game runs at 1-2FPS and cant even update the headset in real time.  Also uses 16gb of ram when just trying to look around. Looked promising but it doesnt even work.,"Jun 21, 2020 at 12:29 PM",1, 16,
