scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 20:29:24.251148,gustavo.liensten,Love free open World and Mars,"Very real experience, I like it as ISS, love the Perseverance landing and all the information, I hope you add more interaction and information about Mars!

Works fine with my graphic card GTX1060 =)","Feb 14, 2021 at 2:33 AM",5, 12,
2022-05-28 20:29:24.267105,LeLa2,Amazing Perseverance landing,"It is what I expected, perfect too see the Perseverance rover in action in an open World. I love space exploration and this is what we need more real space. No that huge graphic card needed!","Feb 8, 2021 at 8:58 PM",5, 5,"Thanks for your answer, please update to the newer version, you will like more and more =D"
2022-05-28 20:29:24.282065,midnightrocker45,game doesn't start,"the game doesn't start after download is complete, it just gives a error message, not good at all","Mar 9, 2021 at 3:20 PM",1, 1,"Hello, this is strange, it is the first time we see that, please can you contact us through https://www.missionmarsvr.com/contact/   
We want to solve it as soon as possible.
Do you have the error message?
We are going to make an UPDATE THIS MONTH with more options and scene objects and if we discover what happen with your software/hardware we can get a solution."
