scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 20:36:09.782810,flamemercenary,TERIBLE,THIS SUCKS,Jan 24 at 3:40 AM,1, 3,
2022-05-28 20:36:09.797770,Hurricain1971,WHAT A RIP-OFF,"wanted to give this ZERO stars but was not an option. DONT BUY THIS CRAP.
Better buy Fast And Low and you'll have more fun then this. Been playing vr-shooter for a while now, on pc as well as on psvr, and i've gotta say, gonna ask for refund.",Aug 11 at 7:05 AM,1, 5,
2022-05-28 20:36:09.812730,TomsStuffs,DONT BUY,WORST GAME GET BEAT SABER OR SMTH,"May 1, 2021 at 4:24 AM",1, 7,
2022-05-28 20:36:09.826693,theman4200,...wow,they tricked me into the buying this. worst game on vr for sure. please remove this from the store!!!,"Dec 30, 2020 at 2:59 PM",1, 48,
