scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 20:31:24.856602,Michsummer,Great and so my fun game,Great and so much fun game i could not stop laughing when playing my kids love this game too graphics are amazing all the different places where so cool and fun worth the money thanks :),Jan 29 at 2:26 AM,5, 0,
2022-05-28 20:31:24.871563,Nosferatu357,My kids love it,My kids absolutely love this and I really want to do a full review but where do I find the app for them to play multi player?,Oct 11 at 4:44 AM,5, 1,
2022-05-28 20:31:24.887520,Pheonics,Nice and addicting game for your family,"Perfectly fits for the children, nice animation and interesting mechanics. Ability to play multiplayer mode with other players (from tablets/cell phones)","Apr 19, 2021 at 1:11 AM",5, 5,
