scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 18:25:49.169140,OoaliceoO,Nice Casual Game but not more,"Language can be switched to English in Options, 3rd Box from Top in the Menu. Not much movement required except for some pointing. Would be nice for a free game, but the music is not too exciting. Quickly got bored when I had to restart first songs after every mistake.","Apr 3, 2017 at 4:26 PM",3, 4,
2022-05-28 18:25:49.186096,FLYVLO,ENGLISH PLEASE!,WORTHLESS,"Mar 30, 2017 at 12:02 PM",1, 1,
2022-05-28 18:25:49.202052,Changa_Lion,Interesting Game,Is there a way of getting this to be in english?,"Mar 6, 2017 at 7:21 AM",3, 1,
