scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 20:03:51.668116,jjwluijten,Awesome,If this is the lite version I am very curious about the full version.,9 days ago,5, 0,
2022-05-28 20:03:51.683076,kenneth.wheeler.315,A little lost,"I have sharecare vr2017 (bought a few weeks ago) no this is out. How much better is this one? Can I just upgrade? Also I went to the purchase site listed, it said whoops! looks like you are lost! Oculus is now metaquest",Dec 7 at 10:46 AM,3, 4,
2022-05-28 20:03:51.697038,Myvz,"""purchase details""  not working","The program is unbelievably high quality and professional, but I can't see the purchase details",Nov 29 at 7:28 AM,5, 13,"Thank you for review! We'll add the link to full version into the app and description on the store page.
https://www.oculus.com/experiences/rift/2687629664625432/"
