scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 16:56:36.039328,UnbrokenVerdict,download errors,it doesnt let me install the game. Update stops at 75 percent everytime and just completely stops installing,"Aug 13, 2018 at 5:16 PM",1, 0,
2022-05-28 16:56:36.053291,Gudnistark,,"It is cool game, but it do miss its mark tho. Mostly being little bit confusing, where i am supposed to go and what is the target, they just talk about targets but little info. Also in the tutorial, it just runs over and over. You just need to polish it little bit.","May 8, 2018 at 5:58 AM",3, 17,
2022-05-28 16:56:36.068252,F4br1c3,COOL AND FUN GAME !!!,I like the fact you can costumize and lvl up your ship. I also like the race wich is really fun with other player,"May 4, 2018 at 7:56 PM",5, 9,
2022-05-28 16:56:36.082214,paulopinastudio,Love Anshar Series,"Perfect control solutions, guaranteed fun. 
Love the Anshar Series.","Jun 8, 2018 at 9:39 AM",5, 5,
2022-05-28 16:56:36.097174,Sergey198989,,Very good and fun game!,"Jun 6, 2018 at 12:56 AM",5, 5,
