scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 19:59:40.597729,michel.drapeau.77,Sketchup Plan Misleading advertising,We have an Annual Plan $ and we can't look at our own model even if in the Annual Plan description it says that we can use Sketchup Viewer VR,Apr 11 at 4:26 AM,1, 0,
2022-05-28 19:59:40.612689,byteframe,We CAD do it.,Yes we CAD!,"May 19, 2021 at 6:07 AM",3, 1,
2022-05-28 19:59:40.627649,dmthomson,Just poor,"Even the demo model doesn't work properly. Can't do anything without a rather expensive subscription. Sketchup used to support it's home users, but is becoming more corporate orientated and leaving behind a lot of users.
Best option I have found is vrsketch. Look in the sketchup extension warehouse.","Sep 25, 2020 at 6:35 AM",1, 14,
2022-05-28 19:59:40.641611,GregMadison,Everything wrong in this app,"This is the best showcase of what you should avoid in VR. Have to login just to try the solution, UI not adapted for 3D space, clunky controls ... actually I can't make a list of all the issues.","Aug 3, 2020 at 2:10 PM",1, 9,
2022-05-28 19:59:40.657569,FadingDream,Only works with expensive pro abo!,"You need a pro abo to view your own models, free is just to view 2 demo models in the program.","Jul 19, 2020 at 3:33 PM",1, 17,
2022-05-28 19:59:43.785332,andrew.yoder.102,Can't View your own projects,This is basically a demo,"Aug 14, 2020 at 8:13 PM",1, 6,
2022-05-28 19:59:43.799295,teadrinker,,needs subscription,"Jul 4, 2020 at 1:48 AM",1, 19,
