scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 20:02:38.499526,lumpisigusch,horrible controls,"The idea of the minigame is actually nice, but the controls don*t f****g work at all. I can't grab nothing at all. ALPHA-state of development.","Feb 19, 2021 at 9:44 PM",1, 6,"on our device it works fine, but we will check again to make sure. can you tell us your VR device?. 

You can check update version"
2022-05-28 20:02:38.515484,khrl.azm,Nice idea but needs more work.,Can you build one for the Quest please?,"Feb 28, 2021 at 7:14 AM",2, 1,"thanks, it is possible but it is not possible to release it to the quest store for now and I will add a video for this Gong Bali VR and make some updates

and Our team has updated to version 1.0.1 - please try the update, thanks"
