scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 19:53:43.912207,Nemzz,Total disappointment,It only shows 1 frame of the video and even after download it still doesn't work.👎,"Jan 13, 2019 at 7:53 PM",1, 2,"I'm sorry you had difficulties, I updated the app that allows users to view photos instead that are clearer and more enjoyable.  Please let me know, thanks."
2022-05-28 19:53:43.926169,r8782b,,"cant wait to see more, do top places to see in California, would love to see it.","Jul 2, 2018 at 12:17 AM",5, 3,
