scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 19:42:20.069765,cybernettr,Could be a mobile game,I’m not sure how much VR really adds to this game.,"May 31, 2019 at 6:05 AM",3, 3,
2022-05-28 19:42:20.085722,Dr_Chew,Addictive!,"Cool game, keep going back to it trying to find the best angles to burst more and  more jelly cubes for highscore. My girlfriend is now addicted too, recommended!","Feb 6, 2019 at 3:46 AM",5, 6,
2022-05-28 19:42:20.101679,Justcloud0607,More bobas!,"Simple, sweet, addictived.
A time killer that make you want to keep popping more and more bobas.","Feb 11, 2019 at 1:24 PM",5, 4,
