scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 20:06:30.729488,taronium,Used it to record videos in my meetings,This works with its sister on the Quest. You can spawn a camera and record your meetings. Super neat.,Sep 3 at 5:44 AM,5, 2,
2022-05-28 20:06:30.745445,Cyborian,Junk,"Got nowhere but a black screen from the elevator.  The solo, multi, and tutorial buttons did nothing.  Worthless as is.","Apr 19, 2021 at 12:21 PM",1, 2,
2022-05-28 20:06:30.761403,Minneth,Awesome!,So simple to use!,"Mar 13, 2021 at 2:17 AM",5, 9,
