scrapping_date,review_author,review_title,one_reviews_text,review_date,review_rating,review_helpful,review_feedback
2022-05-28 19:04:11.560094,TheAsianApexx,Horrible experience.,did not enjoy this app. very laggy,"Mar 14, 2021 at 12:07 AM",1, 0,
2022-05-28 19:04:11.574057,shakerdl120,I cant turn off the music in settings,"The music presents in the background and no matter what you do everything remains the same also the music of the environment, I JUST want to hear the GUIDER!!!!!","Nov 28, 2020 at 8:49 AM",2, 0,
2022-05-28 19:04:11.588020,Spalman_yt,I like it,The graphics are great and it has some cute features. Would recommend if you have 10 minutes of spare time.,"Apr 28, 2019 at 7:31 PM",5, 4,
2022-05-28 19:04:11.602980,Queherain,Beautiful,A sweet and beautiful journey to get little peace for himself.,"Mar 29, 2019 at 11:38 PM",5, 3,
